"Supplier","PartID","Cost.Per.Unit","Quantity"
"Supplier A",10000000,79.33,8036348574
"Supplier A",10000001,61.07,7317843609
"Supplier A",10000002,56.19,8149375859
"Supplier A",10000003,87.87,8413365848
"Supplier A",10000004,37.15,6290714699
"Supplier A",10000005,22.79,8156962390
"Supplier A",10000006,34.19,3083131686
"Supplier A",10000007,90.85,4178256288
"Supplier A",10000008,39.6,4091498524
"Supplier A",10000009,49.97,7830437057
"Supplier A",10000010,66.58,4425932521
"Supplier A",10000011,64.09,2458295687
"Supplier A",10000012,74.95,1690157172
"Supplier A",10000013,87.72,3137470102
"Supplier A",10000014,59.02,3650306752
"Supplier A",10000015,91.22,2672106247
"Supplier A",10000016,18.37,5968180291
"Supplier A",10000017,88.01,6483564405
"Supplier A",10000018,85.09,1563631793
"Supplier A",10000019,81.93,5121299927
"Supplier A",10000020,32.11,6746567570
"Supplier A",10000021,65.87,1665558250
"Supplier A",10000022,49.83,7666282817
"Supplier A",10000023,49,7352050708
"Supplier A",10000024,36.56,5740333481
"Supplier A",10000025,11.38,8670776413
"Supplier A",10000026,97.56,6897732311
"Supplier A",10000027,89.2,2501328680
"Supplier A",10000028,41.48,9531656492
"Supplier A",10000029,2.02,2266965259
"Supplier A",10000030,38.35,9388348732
"Supplier A",10000031,18.06,6074522636
"Supplier A",10000032,32.24,7471487485
"Supplier A",10000033,64.26,5668813183
"Supplier A",10000034,5.98,4849340072
"Supplier A",10000035,81.29,2457662878
"Supplier A",10000036,16.95,6012352546
"Supplier A",10000037,99.74,7134717468
"Supplier A",10000038,47.15,8991642395
"Supplier A",10000039,42,1688030848
"Supplier A",10000040,12.77,5944538542
"Supplier A",10000041,83.98,5756615064
"Supplier A",10000042,2.91,4929743067
"Supplier A",10000043,32.55,3902251442
"Supplier A",10000044,64.51,7740813511
"Supplier A",10000045,75.71,7118435999
"Supplier A",10000046,80.73,2359854556
"Supplier A",10000047,3.38,7505600101
"Supplier A",10000048,32.8,3611145879
"Supplier A",10000049,95.19,6908131223
"Supplier A",10000050,89.03,5642253080
"Supplier A",10000051,27.19,5687151350
"Supplier A",10000052,79.04,2001910176
"Supplier A",10000053,88.64,7716161862
"Supplier A",10000054,23.56,6156469258
"Supplier A",10000055,71.17,1345904364
"Supplier A",10000056,60.06,5007962140
"Supplier A",10000057,94.9,5378671707
"Supplier A",10000058,26.49,1213754729
"Supplier A",10000059,90.06,2354532887
"Supplier A",10000060,14.01,6606385487
"Supplier A",10000061,65.91,3347696171
"Supplier A",10000062,73.34,9581087338
"Supplier A",10000063,43.56,8027625665
"Supplier A",10000064,96.04,7388888530
"Supplier A",10000065,54.72,9467867557
"Supplier A",10000066,66.95,9192035893
"Supplier A",10000067,53.67,3136942618
"Supplier A",10000068,44.56,7714716756
"Supplier A",10000069,50.82,9732644903
"Supplier A",10000070,57.79,7884099655
"Supplier A",10000071,16.85,7566756156
"Supplier A",10000072,25.08,9209448599
"Supplier A",10000073,71.45,1042969595
"Supplier A",10000074,46.24,6882079673
"Supplier A",10000075,65.92,3253039267
"Supplier A",10000076,44.98,1397145409
"Supplier A",10000077,46.31,6880589317
"Supplier A",10000078,83.58,9196591575
"Supplier A",10000079,52.86,8835656706
"Supplier A",10000080,35.24,9602317895
"Supplier A",10000081,72.84,6020893808
"Supplier A",10000082,64.96,2510141923
"Supplier A",10000083,24,9450330305
"Supplier A",10000084,28.99,2745882315
"Supplier A",10000085,83.11,4496778624
"Supplier A",10000086,27.1,3357914178
"Supplier A",10000087,25.67,5626342047
"Supplier A",10000088,67.61,7445846598
"Supplier A",10000089,7.73,3388205846
"Supplier A",10000090,90.94,9160810403
"Supplier A",10000091,89.34,9349052943
"Supplier A",10000092,99.62,2599441777
"Supplier A",10000093,74.67,1469593708
"Supplier A",10000094,8.74,8195084049
"Supplier A",10000095,84.09,8212314502
"Supplier A",10000096,94.03,6026850224
"Supplier A",10000097,36.04,4535220596
"Supplier A",10000098,41.83,9787384368
"Supplier A",10000099,12.71,4834165559
"Supplier A",10000100,31.94,2152168383
"Supplier A",10000101,87.54,6222677965
"Supplier A",10000102,33.11,1797838864
"Supplier A",10000103,19.5,7477451502
"Supplier A",10000104,71.85,7962016721
"Supplier A",10000105,31.03,2928792348
"Supplier A",10000106,76.73,5902396742
"Supplier A",10000107,25.23,7413788610
"Supplier A",10000108,53.15,2649409709
"Supplier A",10000109,52.94,6700847346
"Supplier A",10000110,55.13,5012497940
"Supplier A",10000111,52.46,8418674901
"Supplier A",10000112,24.26,3295356967
"Supplier A",10000113,70.78,1904450661
"Supplier A",10000114,40.52,3844387936
"Supplier A",10000115,91.51,4068172671
"Supplier A",10000116,70.79,2042747292
"Supplier A",10000117,39.74,8228080510
"Supplier A",10000118,63.74,9591975706
"Supplier A",10000119,92.82,6759925115
"Supplier A",10000120,94.42,1482637509
"Supplier A",10000121,62.13,6742196594
"Supplier A",10000122,97.99,5273065127
"Supplier A",10000123,32.36,2246658022
"Supplier A",10000124,40.75,1041539547
"Supplier A",10000125,83.32,6828099530
"Supplier A",10000126,15.66,9713447805
"Supplier A",10000127,95.7,7046608603
"Supplier A",10000128,49.65,8449102043
"Supplier A",10000129,48.48,8524398465
"Supplier A",10000130,95.19,2010041912
"Supplier A",10000131,1.92,4894583532
"Supplier A",10000132,84.9,3853680340
"Supplier A",10000133,42.81,2013488274
"Supplier A",10000134,93.04,9418014882
"Supplier A",10000135,90.91,4196336004
"Supplier A",10000136,17.31,1818572138
"Supplier A",10000137,82.63,8256022407
"Supplier A",10000138,8.41,5096583153
"Supplier A",10000139,11.58,3286779627
"Supplier A",10000140,92.18,9047085730
"Supplier A",10000141,7.2,8026790967
"Supplier A",10000142,82.01,9524838613
"Supplier A",10000143,66.36,2688343216
"Supplier A",10000144,8.37,7863251001
"Supplier A",10000145,39.12,5016415135
"Supplier A",10000146,56.03,5782509092
"Supplier A",10000147,24.3,6978847891
"Supplier A",10000148,76.85,3778593111
"Supplier A",10000149,39.84,3738620353
"Supplier A",10000150,74.19,7707638247
"Supplier A",10000151,24.52,1155220518
"Supplier A",10000152,41.44,8317896844
"Supplier A",10000153,93.4,2047711383
"Supplier A",10000154,87.6,8132953574
"Supplier A",10000155,31.14,8083137587
"Supplier A",10000156,87.56,7188297619
"Supplier A",10000157,18.17,8565454943
"Supplier A",10000158,7.3,5513527196
"Supplier A",10000159,35.48,2037639894
"Supplier A",10000160,95.31,1630972304
"Supplier A",10000161,13.85,3232984690
"Supplier A",10000162,88.04,2010356182
"Supplier A",10000163,45.57,4891108827
"Supplier A",10000164,98.53,4125323565
"Supplier A",10000165,32.13,7021915020
"Supplier A",10000166,11.28,2335726512
"Supplier A",10000167,1.78,6527041872
"Supplier A",10000168,77.69,3156167199
"Supplier A",10000169,2.12,7164562800
"Supplier A",10000170,31.28,1618586695
"Supplier A",10000171,57.06,3469759663
"Supplier A",10000172,6.53,6588147242
"Supplier A",10000173,17.2,9081095662
"Supplier A",10000174,43.61,1282819912
"Supplier A",10000175,95.41,9761310822
"Supplier A",10000176,48.81,7933549256
"Supplier A",10000177,42.71,6881504538
"Supplier A",10000178,36.55,8182927026
"Supplier A",10000179,36.27,3655372465
"Supplier A",10000180,9.27,7218263597
"Supplier A",10000181,55.38,6737863355
"Supplier A",10000182,69.05,1006800038
"Supplier A",10000183,36.41,4369251112
"Supplier A",10000184,53.69,3155160958
"Supplier A",10000185,86.72,4393919688
"Supplier A",10000186,2.61,7622067124
"Supplier A",10000187,83.64,9207220770
"Supplier A",10000188,76.95,6571438799
"Supplier A",10000189,56.15,3433912843
"Supplier A",10000190,63.27,1128650895
"Supplier A",10000191,64.45,5706854719
"Supplier A",10000192,25.88,9858280439
"Supplier A",10000193,84.63,6636863432
"Supplier A",10000194,74.45,4981900609
"Supplier A",10000195,8.37,9477579083
"Supplier A",10000196,27.13,7848185113
"Supplier A",10000197,24.76,1728522029
"Supplier A",10000198,86.46,2376524688
"Supplier A",10000199,52.05,7412918639
"Supplier A",10000200,15.38,1575152943
"Supplier A",10000201,44.46,1077656563
"Supplier A",10000202,99.26,5515560539
"Supplier A",10000203,96.78,4150871945
"Supplier A",10000204,91.44,5469133596
"Supplier A",10000205,70.66,6189321455
"Supplier A",10000206,1.25,4509904899
"Supplier A",10000207,62.08,8527183618
"Supplier A",10000208,85.25,9118579591
"Supplier A",10000209,77.84,8658801160
"Supplier A",10000210,16.1,5185202217
"Supplier A",10000211,22.01,8768283898
"Supplier A",10000212,22.06,4152888173
"Supplier A",10000213,70.68,4725911449
"Supplier A",10000214,61.01,7872542861
"Supplier A",10000215,45.37,3158330939
"Supplier A",10000216,26.13,2023082782
"Supplier A",10000217,75.48,3423679806
"Supplier A",10000218,18.87,4460197612
"Supplier A",10000219,46.46,8702959893
"Supplier A",10000220,99.55,6404308558
"Supplier A",10000221,95.6,3851879361
"Supplier A",10000222,60.73,7900473044
"Supplier A",10000223,7.74,5015706954
"Supplier A",10000224,62.58,3830659502
"Supplier A",10000225,87.17,9104796117
"Supplier A",10000226,90.42,1927828571
"Supplier A",10000227,7.11,8563164838
"Supplier A",10000228,57.59,2060661165
"Supplier A",10000229,26.48,7364284585
"Supplier A",10000230,30.38,6658468585
"Supplier A",10000231,46.32,8105422646
"Supplier A",10000232,85.16,8621005372
"Supplier A",10000233,28.9,4804364959
"Supplier A",10000234,62.22,8629204491
"Supplier A",10000235,89.97,1719625225
"Supplier A",10000236,53.36,9203046552
"Supplier A",10000237,11.45,3236552322
"Supplier A",10000238,96.04,9983212050
"Supplier A",10000239,10.51,3800262356
"Supplier A",10000240,59.09,2840051988
"Supplier A",10000241,93.24,7121407844
"Supplier A",10000242,45.4,3132121201
"Supplier A",10000243,28.09,5722981453
"Supplier A",10000244,96,6476094124
"Supplier A",10000245,2.06,8338541063
"Supplier A",10000246,75.76,5609860646
"Supplier A",10000247,16.45,1707485766
"Supplier A",10000248,77.67,8585347733
"Supplier A",10000249,17.83,1013926650
"Supplier A",10000250,13.48,4543005413
"Supplier A",10000251,7.45,9932127488
